name,latitude,longitude,iata
Shaw River Airport,-21.51029968,119.3619995,SWB
Tom Price Airport,-22.74600029,117.8690033,TPR
Torwood Airport,-17.36330032,143.75,TWP
Springvale Airport,-17.7869,127.669998,ZVG
Aua Island Airport,-1.460555556,143.0647222,AUI
Ambunti Airport,-4.215666667,142.8231667,AUJ
Agaun Airport,-9.930833,149.385667,AUP
Aumo Airport,-5.731111111,148.4452778,AUV
Alowe Airport,-0.545,9.444,AWE
Awar Airport (unusable),-4.122278,144.853292,AWR
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,AXF
Pantar Kabir Airport,-8.244832,124.219108,AXO
Kompiam Airport,-5.381666667,143.9247222,KPM
Buka Airport,-5.422319889,154.6730042,BUA
Biaru Airport,-7.6693,146.7594,BRP
Chimbu Airport,-6.024290085,144.970993,CMU
Munduku Airport,-4.6204,143.4516,MDM
Kondobol Airport,-8.5336,142.5049,KPF
Dinangat Airport,-6.1546,146.6772,DNU
Doini Airport,-10.7009,150.7218,DOI
Daru Airport,-9.08676,143.207993,DAU
Embessa Airport,-9.447,148.7628,EMS
Edwaki Airport,-3.883986,141.792234,XYR
Eliptamin Airport,-5.0412,141.6779,EPT
Engati Airstrip,-6.9179,146.1053,EGA
Emo River Airstrip,-9.1234,148.0415,EMO
Erume Airport,-8.2538,146.9747,ERU
Meselia Airport,-6.1364,149.1183,MFZ
Feramin Airport,-5.208,141.6988,FRQ
Frieda River Airport,-4.610468,141.960138,FAQ
Fuma Airport,-6.3933,142.4408,FUM
Goroka Airport,-6.081689835,145.3919983,GKA
Guari Airport,-8.1286,146.8722,GUG
Garasa Airport,-7.980713,147.213461,GRL
Gurney Airport,-10.3114996,150.3339996,GUR
Gusap Airport,-6.053196,145.959047,GAP
Girua Airport,-8.80453968,148.3090057,PNP
Gasuke Airport,-6.1028,141.7393,GBC
Habi Airport,-6.32,142.4893,HBD
Heiweni Airport,-7.4223,146.4276,HNI
Honinabi Airport,-6.2457,142.1771,HNN
Hoskins Airport,-5.463846,150.407327,HKN
Haivaro Airport,-6.9406,143.059,HIT
Imane Airport,-6.7524,146.1072,IMN
Kungim Airport,-5.671,141.03,KGM
Imonda Airport,-3.328,141.1573,IMD
Aropa Airport,-6.305417,155.728139,KIE
Ialibu Airport,-6.2782,143.9944,IAL
Witu Airport,-4.689522,149.440112,WIU
Yongai Airport,-8.5289,147.4603,KGH
Losuia Airport,-8.505820274,151.0809937,LSA
Kopiago Airport,-5.3883,142.4977,KPA
Kiunga Airport,-6.125710011,141.2819977,UNG
Kanainj Airport,-5.2903,144.7072,KNE
Kikori Airport,-7.42438,144.250076,KRI
Kerema Airport,-7.963610172,145.7709961,KMA
Kar Kar Airport,-4.557,145.9404,KRX
Kuri Airport,-7.135083,143.276111,KUQ
Kavieng Airport,-2.579400063,150.8079987,KVG
Londolovit Airport,-3.043610096,152.6289978,LNV
Lab Lab Airport,-5.7204,148.0566,LAB
Lowai Airport,-6.3344,146.6458,LWI
Leron Plains Airport,-6.3917,146.3434,LPN
Lese Airport,-8.2799,146.2765,LNG
Long Island Airport,-5.3604,147.0177,LSJ
Yas Island Seaplane Base,24.467,54.6103,AYM
Manari Airport,-9.1908,147.6219,MRM
Morobe Airport,-7.74,147.59,OBM
Madang Airport,-5.207079887,145.7890015,MAG
Mount Hagen Kagamuga Airport,-5.828212,144.299412,HGU
Mougulu Airport,-6.280859,142.420775,GUV
Mendi Airport,-6.14774,143.656998,MDU
Momote Airport,-2.06189,147.423996,MAS
Moro Airport,-6.363329887,143.2380066,MXH
Misima Island Airport,-10.6892004,152.8379974,MIS
Marawaka Airport,-6.9736,145.8849,MWG
Nankina Airport,-5.837,146.4533,NKN
Negarbo(Negabo) Airport,-6.567778,144.703058,GBF
Manguna Airport,-5.577778,151.792333,MFO
Kasonombe Airport,-6.3819,146.9859,KSB
Nomane Airport,-6.32183,145.070667,NMN
Nambaiyufa Airport,-6.2412,145.2424,NBA
Nadzab Airport,-6.569803,146.725977,LAE
Konge Airport,-6.2239,147.2152,KGB
Oksapmin Airport,-5.2261,142.2259,OKP
Komako Airport,-7.3984,145.8827,HOC
Komaio Airport,-7.2714,143.5952,KCJ
Koroba Airport,-5.6952,142.7441,KDE
Open Bay Airport,-4.794727,151.696195,OPB
Pangoa Airport,-7.0226,141.5605,PGB
Pangia Airport,-6.386,144.1084,PGN
Mapoda Airport,-7.979,143.1694,MPF
Pumani Airport,-9.7469,149.4766,PMN
Walluanda Airport,-6.475161,143.987222,WLU
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,POM
Sopu Airport,-8.3038,147.1659,SPH
Sialum Airport,-6.0908,147.5955,SXA
Rumginae Airport,-5.897222222,141.2716667,RMN
Karimui Airport,-6.4921,144.823,KMR
Maramuni Airport,-5.13,143.4829,MWI
May River Airstrip,-4.3615,141.785,MRH
Suabi Airport,-6.104444444,142.2783333,SBE
Simberi Airport,-2.662222222,151.9977778,NIS
Sila Airport,-9.073555556,148.38925,SIL
Sabah Airport,-5.5765,155.0489,SBV
Simbai Airport,-5.278611111,144.5447222,SIM
Selbang Airport,-5.315,141.752,SBC
Sepik Plains Airport,-3.8821,143.6734,SPV
Sauren Airport,-5.9701,148.8543,SXW
Masa Airport,-6.345,147.591,MBV
Tari Airport,-5.845,142.947998,TIZ
Tabubil Airport,-5.27861,141.225998,TBG
Tapini Airport,-8.356666667,146.9891667,TPI
Tokua Airport,-4.34046,152.380005,RAB
Tekin Airport,-5.243667,142.165194,TKW
Tep Tep Airport,-5.9553,146.5595,TEP
Tsewi Airport,-7.0695,146.1272,TSW
Tarakbits Airport,-5.614,141.0421,TRJ
Tawa Airport,-7.4463,146.1067,TWY
Tekadu Airport,-7.6808,146.5503,TKB
Aiyura Airport,-6.338055556,145.9041667,AYU
Umba Airport,-7.0214,145.966,UMC
Uroubi Airport,-9.5162,148.5591,URU
Upiara Airport,-8.5411,142.6503,UPR
Uvol Airport,-6.0178,150.9557,UVO
Talasea Airport,-5.2726,150.0089,TLW
Torembi Airport,-4.0165,143.1329,TCJ
Vanimo Airport,-2.6926,141.3028,VAI
Tonu Airport,-6.6552,155.4326,TON
Wabo Airport,-6.989444444,145.0751111,WAO
Wapenamanda Airport,-5.635293,143.892231,WBM
Wawoi Falls Airport,-6.9523,142.6557,WAJ
Wewak International Airport,-3.583830118,143.6690063,WWK
Wonenara Airport,-6.796861111,145.8919444,WOA
Wakunai Airport,-5.8603,155.2223,WKN
Wasu Airport,-5.961709449,147.1982253,WSU
Woitape Airport,-8.545833333,147.2525,WTP
Wau Airport,-7.345556,146.718611,WUG
Yeva Airport,-7.548,146.188,YVD
Sim Airport,-7.75,146.9273,SMJ
Weam Airport,-8.6184,141.1381,WEP
Arugam Bay SPB,6.86,81.82388889,AYY
Yalumet Airport,-6.09,147.0117,KYX
Yasuru Airport,-6.6015,146.1813,KSX
Wasum Airport,-6.0491,149.337,WUM
Zabrat Airport,40.49554222,49.97680664,ZXT
Fuzuli International Airport,39.594578,47.196128,FZL
Lava Falls Heliport,36.1916008,-113.0920029,HAE
Amazon Bay Airport,-10.29916667,149.3383333,AZB
Zhenjiang Dalu Airport,32.23649,119.718683,AZJ
Bali Airport,-4.883333333,149.1333333,BAJ
Bambu Airport,-5.863611111,146.4925,BCP
Benguera Island Airport,-21.8533,35.438301,BCW
Milyakburra Airport,-13.78083333,136.2016667,BCZ
Willmar Municipal Airport John L Rice Field (2006),45.117552,-95.132259,ILL
Baindoung Airport,-6.347222222,146.9422222,BDZ
Malevo Airfield,41.871799,25.604799,HKV
Bezmer Air Base,42.454899,26.3522,JAM
Aasiaat Airport,68.721802,-52.784698,JEG
Aappilattoq Heliport,72.88703,-55.596287,AOQ
Tasiilaq Heliport,65.612296,-37.618335,AGM
Aappilattoq Heliport,60.148357,-44.286916,QUV
Arsuk Heliport,61.176828,-48.419698,JRK
Ammassivik Heliport,60.597376,-45.382445,QUW
Attu Heliport,67.940663,-53.62187,QGQ
Narsarsuaq Airport,61.1605,-45.425999,UAK
Qasigiannguit Heliport,68.822816,-51.173447,JCH
Neerlerit Inaat Airport,70.743103,-22.650499,CNP
Eqalugaarsuit Heliport,60.61972,-45.914062,QFG
Kangilinnguit Heliport,61.22896,-48.09698,JGR
Nuuk Airport,64.193022,-51.676512,GOH
Qeqertarsuaq Heliport,69.251182,-53.514876,JGO
Ikerasak Heliport,70.498145,-51.303084,IKE
Iginniarfik Heliport,68.147226,-53.173528,QFI
Ikerassaarsuk Heliport,68.140881,-53.441459,QRY
Ilimanaq Heliport,69.080915,-51.114315,XIQ
Innarsuit Heliport,73.199895,-56.010817,IUI
Isortoq Heliport,65.547792,-38.976552,IOQ
Ikamiut Heliport,68.634253,-51.832262,QJI
Qaqortoq Heliport,60.715684,-46.029919,JJU
Ilulissat Airport,69.243202,-51.057098,JAV
Kangaatsiaq Heliport,68.312657,-53.460208,QPW
Kulusuk Airport,65.573601,-37.1236,KUS
Kuummiut Heliport,65.863935,-36.997919,KUZ
Kullorsuaq Heliport,74.57805,-57.226828,KHQ
Kangersuatsiaq Heliport,72.381092,-55.536586,KGQ
Kitsissuarsuit Heliport,68.857926,-53.123295,QJE
Illorsuit Heliport,71.241944,-53.562877,IOT
Maniitsoq Airport,65.412498,-52.9394,JSU
Nanortalik Heliport,60.141884,-45.232977,JNN
Nuugaatsiaq Heliport,71.538769,-53.205038,JUU
Narsaq Heliport,60.917283,-46.059923,JNS
Niaqornat Heliport,70.789385,-53.662945,NIQ
Nuussuaq Heliport,74.109853,-57.065037,NSQ
Paamiut Airport,62.014736,-49.670937,JFR
Qeqertaq Heliport,69.995861,-51.300917,PQT
Qaanaaq Airport,77.488602,-69.388702,NAQ
Qassimiut Heliport,60.780959,-47.156249,QJH
Ittoqqortoormiit Heliport,70.488229,-21.97168,OBY
Kangerlussuaq Airport,67.010446,-50.715294,SFJ
Sermiligaaq Heliport,65.90592,-36.378254,SGG
Siorapaluk Heliport,77.786517,-70.638657,SRK
Saarloq Heliport,60.537778,-46.024722,QOQ
Sisimiut Airport,66.951302,-53.729301,JHS
Saattut Heliport,70.811172,-51.63129,SAE
Savissivik Heliport,76.018613,-65.117683,SVR
Tasiusaq Heliport,73.373055,-56.06028,TQA
Pituffik Space Base,76.531197,-68.703201,THU
Tiniteqilaaq Heliport,65.892027,-37.783409,TQI
Tasiusaq Heliport,60.194305,-44.813447,XEQ
Upernavik Airport,72.790199,-56.1306,JUV
Uummannaq Heliport,70.680428,-52.11163,UMD
Qaarsut Airport,70.7342,-52.696201,JQA
Ukkusissat Heliport,71.049438,-51.890016,JUK
Bahía de los Ángeles Airport,28.9786,-113.560997,BHL
Brighton Downs Airport,-23.363333,141.562778,BHT
Akureyri Airport,65.656573,-18.072018,AEY
Bildudalur Airport,65.641296,-23.5462,BIU
Borgarfjörður eystri Airport,65.516769,-13.81578,BGJ
Bakkafjörður Airport,66.02189636,-14.82439995,BJD
Hjaltabakki Airport,65.644997,-20.2875,BLO
Búðardalur Airport,65.07530212,-21.8003006,BQD
Breiðdalsvík Airport,64.790037,-14.043927,BXV
Djúpivogur Airport,64.642372,-14.277297,DJU
Egilsstaðir Airport,65.28330231,-14.40139961,EGS
Fáskrúðsfjörður Airport,64.931456,-14.047957,FAS
Fagurhólsmýri Airport,63.874699,-16.6411,FAG
Grundarfjörður Airport,64.991402,-23.224701,GUU
Gjögur Airport,65.9953,-21.3269,GJR
Grímsey Airport,66.5458,-18.0173,GRY
Hólmavík Airport,65.704697,-21.6964,HVK
Hornafjörður Airport,64.295601,-15.2272,HFN
Holt Airport,66.01418043,-23.4416914,FLI
Húsavík Airport,65.952301,-17.426001,HZK
Krókstaðarmelar Airport,65.2664032,-20.84690094,HVM
Ingjaldssanður Airport,66.05000305,-23.69610023,HLO
Ísafjörður Airport,66.058098,-23.1353,IFJ
Keflavik International Airport,63.985001,-22.6056,KEF
Kópasker Airport,66.310799,-16.4667,OPA
Sauðárkrókur Airport,65.73169708,-19.57279968,SAK
Norðfjörður Airport,65.131897,-13.7464,NOR
Ólafsfjörður Airport,66.083298,-18.6667,OFJ
Patreksfjörður Airport,65.555801,-23.965,PFJ
Reykhólar Airport,65.45262909,-22.20611572,RHA
Rif Airport,64.9114,-23.823099,OLI
Raufarhöfn Airport,66.406403,-15.9183,RFN
Reykjavik Airport,64.12999725,-21.94059944,RKV
Reykjahlíð Airport,65.6558,-16.9181,MVA
Siglufjörður Airport,66.137847,-18.908157,SIJ
Stykkishólmur Airport,65.058851,-22.764616,SYK
Þingeyri Airport,65.8703,-23.559999,TEY
Þórshöfn Airport,66.218498,-15.3356,THO
Vestmannaeyjar Airport,63.42430115,-20.27890015,VEY
Vopnafjörður Airport,65.720596,-14.8506,VPN
Baleela Airport,11.19944444,28.52305556,BJE
Bahja Airport,19.87305556,56.06777778,BJQ
Bentota River Waterdrome,6.431,79.996,BJT
Priština Adem Jashari International Airport,42.5728,21.035801,PRN
Bomai Airport,-6.373166667,144.637,BMH
Bamburi Airport,-3.983363,39.730982,BMQ
Bamu Airport,-7.8485,143.2433,BMZ
Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146,BNF
Bodinumu Airport,-9.107777778,147.6667222,BNM
Bundi Airport,-5.742222222,145.2275,BNT
Boana Airport,-6.426631,146.826697,BNV
Rurrenabaque Airport,-14.4279,-67.496803,RBQ
Baures Airport,-13.654426,-63.704718,BVL
Brookings Airport,42.0746,-124.290001,BOK
Bosset Airport,-7.237257,141.1063222,BOT
Boang Airport,-3.3834,153.2812,BOV
Batuna Aerodrome,-8.562027778,158.1193056,BPF
Bartlett Cove Seaplane Base,58.4552,-135.884995,BQV
Pedro Vieira Moreira Airport,-6.8827,-38.61583,CJZ
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,VDC
Alenquer Municipal Airport,-1.917,-54.7231,ALT
Bimini North Seaplane Base,25.767,-79.25,NSB
Bensbach Airport,-8.858055556,141.2594444,BSP
Besakoa Airport,-15.6725,47.061667,BSV
Betong International Airport,5.79,101.15,BTZ
Bulolo Airport,-7.216286671,146.6495419,BUL
Esperadinha Airport,14.864306,-24.746,BVR
Hukuntsi Airport,-23.9897,21.758101,HUK
Bawan Airport,-6.396944444,146.8816667,BWJ
Bewani Airport,-3.021666667,141.1652778,BWP
Blue Lagoon Seaplane Base,-16.943,177.368,BXL
Bunsil Airport,-5.7243,147.8667,BXZ
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,TXC
Boundary Airport,64.077678,-141.122088,BYA
Bella Yella Airport,7.369166667,-9.993722222,BYL
Beira Lake Seaplane Base,6.929444444,79.85416667,BYV
Hector Silva Airstrip,17.269603,-88.776496,BCV
Big Creek Airport,16.519369,-88.407913,BGK
Caye Caulker Airport,17.735015,-88.032862,CUK
Caye Chapel Airport,17.683792,-88.044985,CYC
Corozal Municipal Airport,18.3822,-88.411903,CZH
Dangriga Airport,16.98251,-88.230988,DGA
Independence Airport,16.53456,-88.441615,INB
Melinda Airport,17.004299,-88.304199,MDB
H.E Alfredo Martinez (Tower Hill) Airstrip,18.046766,-88.58387,ORZ
Placencia Airport,16.536957,-88.361511,PLJ
Punta Gorda Airport,16.1024,-88.808296,PND
Sartaneja Airport,18.3561,-88.130798,SJX
John Greif II Airport,17.9139,-87.9711,SPR
Matthew Spain Airport,17.185898,-89.009936,SQS
Santa Cruz Airport,18.27210045,-88.45629883,STU
Silver Creek Airport,16.728338,-88.369174,SVK
Sir Barry Bowen Municipal Airport,17.517239,-88.195775,TZA
Bazaruto Island Airport,-21.5411,35.4729,BZB
Bemolanga Airport,-17.6925,45.08883333,BZM
Primrose Airport,55.390002,-111.1198,PFM
Saglek Airport,58.474312,-62.653999,YSV
Stuart Island Airstrip,50.409447,-125.131617,YRR
Mary River Aerodrome,71.324167,-79.356944,YMV
Hakai Passage Water Aerodrome,51.669733,-128.08181,YHC
Montague Harbour Seaplane Base,48.89225,-123.39215,YMF
Paradise Skypark Airport,39.71029,-121.616528,PYS
Bedwell Harbour Seaplane Base,48.75,-123.2330017,YBW
Tofino Harbour Seaplane Base,49.155,-125.91,YTP
Nanaimo Harbour Water Aerodrome,49.169813,-123.933845,ZNA
Trail Regional Airport,49.055599,-117.609001,YZZ
Merritt Airport,50.122504,-120.745368,YMB
Campbell River Seaplane Base,50.049999,-125.25,YHH
Whistler/Green Lake Water Aerodrome,50.14360046,-122.9489975,YWS
Bamfield Seaplane Base,48.835967,-125.137453,YBF
Big Bay Seaplane Base,50.3923,-125.1372,YIG
Chilko Lake (Tsylos Park Lodge) Airport,51.625797,-124.144478,CJH
Pender Harbour Seaplane Base,49.623785,-124.024884,YPT
Ocean Falls Seaplane Base,52.36669922,-127.7170029,ZOF
Courtenay Airpark,49.679237,-124.98064,YCA
Creston Valley Regional Airport - Art Sutcliffe Field,49.03689957,-116.4980011,CFQ
Anahim Lake Airport,52.451501,-125.303776,YAA
Douglas Lake Airport,50.16546005,-120.1712734,DGF
Fort MacKay/Albian Aerodrome,57.22389984,-111.4189987,JHL
Tahsis Seaplane Base,49.91669846,-126.6669998,ZTS
Duncan Airport,48.754534,-123.709702,DUQ
Sechelt-Gibsons Airport,49.46060181,-123.7190018,YHS
Kitkatla Seaplane Base,53.79999924,-130.4329987,YKK
Queen Charlotte City Seaplane Base,53.25282,-132.074214,ZQS
Powell Lake Seaplane Base,49.887335,-124.53372,WPL
Qualicum Beach Airport,49.337456,-124.393086,XQU
Port McNeill Airport,50.57348,-127.027702,YMP
Rivers Inlet Seaplane Base,51.683985,-127.264044,YRN
Sullivan Bay Seaplane Base,50.885359,-126.831069,YTG
Mansons Landing Seaplane Base,50.07137,-124.98362,YMU
